Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
Part des énergies renouvelables dans la consommation de chaleur et de froid,f00d6c3d-a4da-4306-ace2-db79b268ebdb,Energie,Chaleur et froid,"Atténuation, Adaptation",33,Barres simple,,"La production de chaleur ou de froid à partir d'énergies renouvelables permet de réduire fortement les émissions associées. L'indicateur représente la part, en %, des énergies renouvelables dans la consommation finale (brute) de chaleur et de froid (calcul au sens de la directive RED II).
",Pourcents,Hexagone ,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6755/download?inline,https://www.statistiques.developpement-durable.gouv.fr/chiffres-cles-des-energies-renouvelables-edition-2023,Lien seulement,,"20,6",mesuré,"21,2",mesuré,"22,4",mesuré,"23,4",mesuré,"24,3",mesuré,"27,2",mesuré,28,projection,"29,7",projection,"31,4",projection,"33,1",projection,"34,8",projection,"36,5",cible,,,,,"Objectifs PPE2. Pour 2028, moyenne scénario bas et scénario haut",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 et 2024 doivent apparaître en projection,
Livraison par des réseaux de froid renouvelable et de récupération,94b7af4e-6fa3-4a2e-91d6-233f8e3369d1,Energie,Chaleur et froid,"Atténuation, Adaptation",34,Barres simple,,"Dans le cadre du réchauffement climatique, la production décarbonée de froid représente un enjeu à ne pas négliger. L'indicateur représente la quantité de froid renouvelable et de récupération fournie par les réseaux dans l'année. 
",Térawattheures ,Hexagone et outre-mer,"Fedene 
",,https://www.connaissancedesenergies.org/sites/connaissancedesenergies.org/files/pdf-actualites/Enqu%C3%AAte%20des%20r%C3%A9seaux.pdf,https://fedene.fr/lenquete-2023-sur-les-reseaux-de-chaleur-froid-en-france/,Lien seulement,,"0,99",mesuré,"1,05",mesuré,"0,98",mesuré,"0,81",mesuré,"0,8",mesuré,"0,99",mesuré,"1,4",mesuré,"1,59",projection,"1,78",projection,"1,97",projection,"2,16",projection,"2,35",cible,,,,,"Objectifs PPE2. Pour 2028, moyenne scénario bas et scénario haut)",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Production d'énergie primaire à partir de sources fossiles,45518edb-d603-4d5d-bc05-ffc62ddf2f85,Energie,Fossiles,"Atténuation, Ressources, Santé",35,Barres empilées,Pétrole,"La production d'énergie primaire fossile reste relativement marginale en France (10TWh contre 1249TWh au total en France en 2022). L'indicateur représente l'énergie primaire produite par le pétrole et le gaz naturel. Le charbon étant, au sein des fossiles, une énergie de pointe très marginale. 
",Térawattheures,Hexagone et outre-mer,SDES chiffres clés de l'énergie 2023,,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2023-09/chiffres_cles_energie2023_donnees_figures.xlsx,https://www.statistiques.developpement-durable.gouv.fr/edition-numerique/chiffres-cles-energie-2023/avant-propos,Lien seulement,,"11,569526326",mesuré,"10,9254666673",mesuré,"11,5955536973",mesuré,"9,7977867342",mesuré,"9,7965322724",mesuré,"9,5857760524",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Production d'énergie primaire à partir de sources fossiles,67a8135e-1492-4b5d-9d38-c2ff18c5887d,Energie,Fossiles,"Atténuation, Ressources, Santé",35,Barres empilées,Gaz naturel,,,,,,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2023-09/chiffres_cles_energie2023_donnees_figures.xlsx,https://www.statistiques.developpement-durable.gouv.fr/edition-numerique/chiffres-cles-energie-2023/avant-propos,Lien seulement,,"0,1644945",mesuré,"0,09011575",mesuré,"0,16688825",mesuré,"0,1811185",mesuré,"0,23247875",mesuré,"0,206977",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Part des sources fossiles dans la consommation d'énergie finale,20ba5d89-f5f0-4733-8ec6-0bdd8a84dde9,Energie,Fossiles,"Atténuation, Ressources, Santé",36,Barres empilées,Charbon ,"Depuis 1990, la consommations de pétrole a reculé de 24%; à l'inverse, la consommation de gaz naturel a augmenté de 35% tandis que celle d'énergies renouvelables a plus que doublé. L'indicateur représente l'évolution, corrigée des variations climatiques, de la part des ressources fossiles dans la consommation d'énergie finale totale (incluant les usages non-énergétiques de ces ressources).
",Pourcents,Hexagone et outre-mer (hors Corse pour les projections),SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"0,9069661102",mesuré,"0,9697109423",mesuré,"0,7975411501",mesuré,"0,7668324903",mesuré,"0,8129226552",mesuré,"0,8430131325",mesuré,47,cible,42,projection,37,cible,34,projection,31,projection,28,cible,25,projection,22,cible,Run2,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection // Passer le charbon à 0% à partir de 2023 et pour toutes les années suivantes,
Part des sources fossiles dans la consommation d'énergie finale,85625551-41ba-441f-bdef-2afc8187728c,Energie,Fossiles,"Atténuation, Ressources, Santé",36,Barres empilées,Pétrole,,,,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"43,727119858",mesuré,"42,8945561241",mesuré,"43,0555254758",mesuré,"41,700660424",mesuré,"41,4165857023",mesuré,"42,8806838115",mesuré,"39,1",cible,36,projection,"32,9",cible,"31,6333333333",projection,"30,3666666667",projection,"29,1",cible,"27,7",projection,"26,3",cible,Run2,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection // Passer le charbon à 0% à partir de 2023 et pour toutes les années suivantes,
Part des sources fossiles dans la consommation d'énergie finale,d39a69b1-1445-4f2a-b684-440baa352412,Energie,Fossiles,"Atténuation, Ressources, Santé",36,Barres empilées,Gaz naturel,,,,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"19,4696641167",mesuré,"19,6460009648",mesuré,"19,3241309613",mesuré,"19,5637683454",mesuré,"19,9036238589",mesuré,"17,3860107575",mesuré,"18,9",cible,"18,3",projection,"17,7",cible,"17,2333333333",projection,"16,7666666667",projection,"16,3",cible,"15,55",projection,"14,8",cible,Run2,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection // Passer le charbon à 0% à partir de 2023 et pour toutes les années suivantes,
Surfaces assurées Multirisques Climat (MRC),6b280383-a413-4e72-81c9-ff0800090a29,Agriculture - Alimentation,Autre,"Adaptation, Économie",25,Barres simple,,"L'assurance agricole récemment réformée permet aux exploitants de se couvrir contre les risques naturels, tels les évènements climatiques dont la fréquence et l'intensité seront accentués par le changement climatique. L'indicateur représente la surface agricole assurée ""Multirisques climat"".
",Milliers d'hectares,Hexagone et outre-mer,Service : France assureurs (mais n'est plus public désormais!),,,,Supprimé V1,,4704,mesuré,4749,mesuré,4915,mesuré,4992,mesuré,4930,mesuré,4639,mesuré,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Non pertinents,false,false,true,"Dispo mais non publié et non-pertinent (FJ, LD) : rapport effort d'obtention / intérêt de l'indicateur",,
Nombre d'agents de l'Etat / des collectivités territoriales formés aux enjeux biodiversité et climat,8f7d519a-10d6-420b-83fd-d17cd8aae5d5,Ecosystèmes,Autre,"Adaptation, Atténuation, Biodiversité",33,Barres simple,,"La formation des agents publics aux enjeux de biodiversité et de climat est un levier important pour faciliter la définition et la mise en oeuvre de politiques publiques favorables à la transition écologique. L'indicateur représente le nombre cumulé d'agents de l'Etat ou des collectivités locales formés à ces enjeux depuis le 1er janvier 2023.
",Milliers,Hexagone et outre-mer,SGPE,,,,Supprimé V1,,,,,,,,,,,,0/0,mesuré,"0,2/0",mesuré,25/200,projection,500/500,projection,1100/1000,projection,1800/1500,projection,2500/2000,projection,2500/2500,projection,2500/3000,cible,objectifs SNB,2024-08-02 3:19pm,,Non pertinents,false,false,true,"Dispo mais non publié et non-pertinent (FJ, LD) : rapport effort d'obtention / intérêt de l'indicateur",,
Nombre d'aires éducatives ,8507c62d-d55d-485f-bdf1-48458c519aa2,Ecosystèmes,Autre,Biodiversité,34,Barres simple,,"Une aire éducative est un petit territoire naturel géré de manière participative par les élèves d’un établissement scolaire, avec l'encadrement de leurs enseignants et d'une structure d'éducation à l'environnement. L'indicateur représente le nombre de telles aires (maritimes ou terrestres), dont le développement a commencé en 2012; la trajectoire à compter de 2023, encore théorique, pourra être précisée à l'avenir.
",Nombre,Hexagone et outre-mer,Service : OFB,,,,Supprimé V1,,55,mesuré,92,mesuré,208,mesuré,343,mesuré,628,mesuré,1009,mesuré,1300,cible,"3685,7142857143",projection,"6071,4285714286",projection,"8457,1428571429",projection,"10842,8571428571",projection,"13228,5714285714",projection,"15614,2857142857",projection,18000,cible,objectifs SNB,2024-08-02 3:19pm,,Non pertinents,false,false,true,"Dispo mais non publié et non-pertinent (FJ, LD) : rapport effort d'obtention / intérêt de l'indicateur",,
Part des captages protégés par une DUP,a5170711-11eb-40e7-8bbd-d1640ac82b54,Eau,Qualité,"Ressources, Santé",11,Barres simple,,"Les captages d'eau destinée à la consommation humaine, protégés par des périmètres de protection déclarés d'utilité publique, bénéficient d'une protection renforcée contre les pollutions. L'indicateur représente la part des points de captage du territoire national protégés par une telle DUP, en %.
Source des données: Ministère de la santé et de la prévention. Périmètre: hexagone et outre-mer.
",Pourcents,Hexagone et outre-mer,Service : MSS/DGS,,,,Supprimé V1,,"74,6",mesuré,"76,5",mesuré,"78,2",mesuré,"79,8",mesuré,"80,8",mesuré,"82,1",mesuré,"82,7",mesuré,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Non pertinents,false,false,true,"Dispo mais non publié et non-pertinent (FJ, LD) : rapport effort d'obtention / intérêt de l'indicateur",,
Taux de captage du biogaz dans les décharges compactées,0a2d55cf-e34c-4162-8d7d-aa08a7034577,Economie Circulaire,Captage de méthane dans les ISDND,Atténuation,9,Barres simple,,"La décomposition des déchets organiques entassés dans les décharges (en particulier compactées) génère du gaz, en particulier du méthane, qui peut être capté et valorisé. L'indicateur représente le taux de captage de ce biogaz dans les décharges compactées. 
",Pourcents,Hexagone,Service : DGEC /CITEPA,,,,Supprimé V1,,,,"46,9",mesuré,"45,1",mesuré,"46,5",mesuré,"50,35",projection,"54,2",projection,"58,05",projection,"61,9",projection,"65,75",projection,"69,6",projection,"73,45",projection,"77,3",projection,"81,15",projection,85,cible,"des évolutions importantes sont à prévoir d'après la DGEC, contact CITEPA : Vincent Mazin",2024-08-02 3:19pm,,Non pertinents,false,false,true,"Dispo mais non publié et non-pertinent (FJ, LD) : rapport effort d'obtention / intérêt de l'indicateur",,
Capacité de production hydroélectrique,b8fbbccf-c71b-4916-9a14-ea4cd15ce126,Energie,Hydroénergie,Atténuation,16,Barres simple,,"La production hydroélectrique constitue de longue date une part importante et bas-carbone du mix électrique français. L'indicateur représente la puissance hydroélectrique installée. 

",Gigawatts,Hexagone ,PAS DE DONNEES ANNUELLES. Demander DGEC.,,,,Supprimé V1,,"25,2",mesuré,"25,2",mesuré,"25,2",mesuré,"25,4",mesuré,"25,4",mesuré,"25,4",mesuré,"25,68",projection,"25,58",projection,"25,76",projection,"25,94",projection,"26,12",projection,"26,3",cible,,,,,Cible PPE2,2024-08-02 3:19pm,,Non pertinents,false,false,true,"Dispo mais non publié et non-pertinent (FJ, LD) : rapport effort d'obtention / intérêt de l'indicateur",,
Capacités de production d'énergie marine hors éolien,787b3718-ad52-4861-974f-7af4bba05148,Energie,Autres énergies renouvelables marines,Atténuation,17,Barres simple,,"En-dehors de l'éolien, d'autres technologies, encore en large partie peu développées, peuvent permettre de tirer partie des surfaces maritimes pour produire de l'électricité bas-carbone (énergie marémotrice, énergie hydrolienne, énergie houlomotrice, énergie osmotique, énergie thermique des mers...). L'indicateur représente la puissance installée ce jour pour ces énergies marines. ",Mégawatts,Hexagone ,PAS DE DONNEES ANNUELLES. Demander DGEC.,,,,Supprimé V1,,240,mesuré,240,mesuré,"240,5",mesuré,"240,25",mesuré,"240,125",projection,240,projection,240,projection,240,projection,240,projection,240,projection,240,projection,240,cible,,,,,Cible PPE2,2024-08-02 3:19pm,,Non pertinents,false,false,true,"Dispo mais non publié et non-pertinent (FJ, LD) : rapport effort d'obtention / intérêt de l'indicateur",,
Part de territoires terrestres sous protection forte,9a297c0f-895c-4970-90a5-3f47e38200cb,Ecosystèmes,Aires protégées,Biodiversité,1,Barres simple,,"Une zone de protection forte est une zone géographique dans laquelle les pressions engendrées par les activités humaines susceptibles de compromettre la conservation des enjeux écologiques sont absentes, évitées, supprimées ou fortement limitées, et ce de manière pérenne, grâce à la mise en œuvre d'une protection foncière ou d'une réglementation adaptée, associée à un contrôle effectif des activités concernées L'indicateur représente la part du territoire national bénéficiant de manière effective de ce statut.

",Pourcents,Hexagone et DROM,SDES - leur redemander car problème de chiffres : incohérences entre les sources,,,,Supprimé V1,,,,,,,,,,"1,8",mesuré,"1,86",mesuré,"1,95",mesuré,"3,1",projection,"4,25",projection,"5,4",projection,"6,55",projection,"7,7",projection,"8,85",projection,10,cible,Objectif SNB,2024-08-02 3:19pm,,Non pertinents,false,false,true,En cours de mise en place,,
Part des glaciers sous protection forte,b42bca28-1f21-431d-90d0-16599ce6941d,Ecosystèmes,Aires protégées,Biodiversité,2,Barres simple,,"Les glaciers constituent des écosystèmes particulièrement vulnérables dans le contexte du changement climatique et particulièrement précieux. L'indicateur représente la part des glaciers présentes sur le territoire national bénéficiant de manière effective du statut de ""protection forte"" introduit par la loi Climat et résilience.
",Pourcents,Hexagone et outre-mer,EN COURS DE MISE EN PLACE - DEB/OFB (SNB3),,,,Supprimé V1,,,,,,,,,,,,,,"9,5",mesuré,,,,,,,,,,,,,100,cible,annonce PR,2024-08-02 3:19pm,,Non pertinents,false,false,true,En cours de mise en place,,
